time(s),SOC_1,SOC_2,SOC_3,SOC_4
32.06800,-0.29560,-0.36521,-0.38301,-0.37533
32.16800,-0.29590,-0.36550,-0.38338,-0.37520
32.26800,-0.29527,-0.36522,-0.38279,-0.37514
32.36800,-0.29531,-0.36516,-0.38290,-0.37516
32.46800,-0.29565,-0.36527,-0.38291,-0.37472
32.56800,-0.29574,-0.36606,-0.38297,-0.37443
32.66800,-0.29569,-0.36591,-0.38304,-0.37479
32.76800,-0.29570,-0.36575,-0.38295,-0.37511
32.86800,-0.29578,-0.36575,-0.38299,-0.37493
32.96800,-0.29528,-0.36538,-0.38259,-0.37488
33.06800,-0.29523,-0.36532,-0.38268,-0.37469
33.16800,-0.29582,-0.36537,-0.38288,-0.37444
33.26800,-0.29580,-0.36537,-0.38274,-0.37498
33.36800,-0.29579,-0.36549,-0.38294,-0.37488
33.46800,-0.29567,-0.36483,-0.38267,-0.37510
33.56800,-0.29576,-0.36552,-0.38304,-0.37509
33.66800,-0.29522,-0.36531,-0.38285,-0.37486
33.76800,-0.29487,-0.36562,-0.38335,-0.37487
33.86800,-0.29466,-0.36597,-0.38341,-0.37483
33.96800,-0.29364,-0.36615,-0.38310,-0.37519
34.06800,-0.29366,-0.36550,-0.38304,-0.37450
34.16800,-0.29352,-0.36520,-0.38300,-0.37482
34.26800,-0.29348,-0.36524,-0.38313,-0.37502
34.36800,-0.29309,-0.36499,-0.38267,-0.37519
34.46800,-0.29279,-0.36511,-0.38283,-0.37476
34.56800,-0.29308,-0.36536,-0.38288,-0.37514
34.66800,-0.29316,-0.36536,-0.38299,-0.37485
34.76800,-0.29264,-0.36512,-0.38281,-0.37484
34.86800,-0.29191,-0.36498,-0.38282,-0.37483
34.96800,-0.29138,-0.36524,-0.38302,-0.37484
35.06800,-0.29053,-0.36535,-0.38296,-0.37470
35.16800,-0.29027,-0.36530,-0.38304,-0.37563
35.26800,-0.28937,-0.36505,-0.38291,-0.37498
35.36800,-0.28818,-0.36472,-0.38254,-0.37470
35.46800,-0.28731,-0.36492,-0.38283,-0.37503
35.56800,-0.28629,-0.36502,-0.38311,-0.37486
35.66800,-0.28527,-0.36467,-0.38308,-0.37497
35.76800,-0.28407,-0.36458,-0.38316,-0.37465
35.86800,-0.28335,-0.36505,-0.38309,-0.37496
35.96800,-0.28221,-0.36515,-0.38300,-0.37471
36.06800,-0.28092,-0.36459,-0.38284,-0.37516
36.16800,-0.27975,-0.36469,-0.38325,-0.37521
36.26800,-0.27868,-0.36465,-0.38298,-0.37455
36.36800,-0.27760,-0.36440,-0.38306,-0.37516
36.46800,-0.27711,-0.36442,-0.38335,-0.37508
36.56800,-0.27586,-0.36416,-0.38305,-0.37484
36.66800,-0.27537,-0.36404,-0.38291,-0.37495
36.76800,-0.27647,-0.36436,-0.38313,-0.37459
36.86800,-0.27696,-0.36454,-0.38285,-0.37517
36.96800,-0.27781,-0.36476,-0.38308,-0.37481
37.06800,-0.27761,-0.36423,-0.38301,-0.37481
37.16800,-0.27773,-0.36473,-0.38332,-0.37475
37.26800,-0.27679,-0.36478,-0.38323,-0.37508
37.36800,-0.27657,-0.36502,-0.38317,-0.37516
37.46800,-0.27524,-0.36448,-0.38313,-0.37485
37.56800,-0.27414,-0.36417,-0.38283,-0.37509
37.66800,-0.27333,-0.36429,-0.38298,-0.37540
37.76800,-0.27289,-0.36459,-0.38330,-0.37532
37.86800,-0.27165,-0.36446,-0.38350,-0.37525
37.96800,-0.27076,-0.36421,-0.38311,-0.37528
38.06800,-0.27000,-0.36457,-0.38347,-0.37532
38.16800,-0.26953,-0.36466,-0.38349,-0.37536
38.26800,-0.26931,-0.36470,-0.38387,-0.37506
38.36800,-0.26826,-0.36437,-0.38343,-0.37524
38.46800,-0.26781,-0.36428,-0.38338,-0.37501
38.56800,-0.26726,-0.36429,-0.38355,-0.37481
38.66800,-0.26672,-0.36425,-0.38323,-0.37539
38.76800,-0.26676,-0.36446,-0.38331,-0.37543
38.86800,-0.26614,-0.36403,-0.38303,-0.37537
38.96800,-0.26610,-0.36457,-0.38340,-0.37513
39.06800,-0.26616,-0.36477,-0.38352,-0.37509
39.16800,-0.26557,-0.36409,-0.38292,-0.37537
39.26800,-0.26511,-0.36400,-0.38295,-0.37501
39.36800,-0.26442,-0.36431,-0.38314,-0.37530
39.46800,-0.26429,-0.36448,-0.38330,-0.37559
39.56800,-0.26429,-0.36449,-0.38361,-0.37543
39.66800,-0.26417,-0.36426,-0.38334,-0.37494
39.76800,-0.26461,-0.36465,-0.38371,-0.37481
39.86800,-0.26417,-0.36448,-0.38363,-0.37498
39.96800,-0.26422,-0.36474,-0.38374,-0.37473
40.06800,-0.26460,-0.36462,-0.38381,-0.37489
40.16800,-0.26524,-0.36459,-0.38373,-0.37491
40.26800,-0.26561,-0.36501,-0.38400,-0.37478
40.36800,-0.26522,-0.36475,-0.38378,-0.37476
40.46800,-0.26510,-0.36434,-0.38348,-0.37500
40.56800,-0.26474,-0.36408,-0.38349,-0.37427
40.66800,-0.26486,-0.36453,-0.38341,-0.37455
40.76800,-0.26429,-0.36404,-0.38312,-0.37476
40.86800,-0.26413,-0.36409,-0.38323,-0.37506
40.96800,-0.26435,-0.36406,-0.38329,-0.37512
41.06800,-0.26371,-0.36379,-0.38312,-0.37533
41.16800,-0.26396,-0.36396,-0.38333,-0.37459
41.26800,-0.26415,-0.36368,-0.38328,-0.37486
41.36800,-0.26452,-0.36426,-0.38346,-0.37525
41.46800,-0.26460,-0.36351,-0.38298,-0.37501
41.56800,-0.26487,-0.36390,-0.38316,-0.37538
41.66800,-0.26484,-0.36411,-0.38353,-0.37503
41.76800,-0.26471,-0.36421,-0.38320,-0.37503
41.86800,-0.26542,-0.36423,-0.38357,-0.37534
41.96800,-0.26514,-0.36430,-0.38365,-0.37510
42.06800,-0.26502,-0.36378,-0.38340,-0.37545
42.16800,-0.26542,-0.36439,-0.38360,-0.37557
42.26800,-0.26561,-0.36457,-0.38370,-0.37490
42.36800,-0.26536,-0.36451,-0.38347,-0.37488
42.46800,-0.26494,-0.36451,-0.38337,-0.37527
42.56800,-0.26525,-0.36400,-0.38356,-0.37555
42.66800,-0.26549,-0.36425,-0.38381,-0.37513
42.76800,-0.26518,-0.36411,-0.38349,-0.37527
42.86800,-0.26485,-0.36421,-0.38371,-0.37557
42.96800,-0.26534,-0.36441,-0.38377,-0.37523
43.06800,-0.26423,-0.36397,-0.38319,-0.37521
43.16800,-0.26433,-0.36409,-0.38351,-0.37566
43.26800,-0.26447,-0.36404,-0.38358,-0.37557
43.36800,-0.26447,-0.36417,-0.38353,-0.37545
43.46800,-0.26449,-0.36428,-0.38365,-0.37565
43.56800,-0.26428,-0.36402,-0.38348,-0.37617
43.66800,-0.26422,-0.36428,-0.38319,-0.37587
43.76800,-0.26378,-0.36396,-0.38314,-0.37553
43.86800,-0.26340,-0.36376,-0.38284,-0.37507
43.96800,-0.26408,-0.36430,-0.38328,-0.37519
44.06800,-0.26387,-0.36377,-0.38307,-0.37552
44.16800,-0.26421,-0.36383,-0.38325,-0.37559
44.26800,-0.26460,-0.36445,-0.38341,-0.37567
44.36800,-0.26523,-0.36456,-0.38367,-0.37507
44.46800,-0.26539,-0.36488,-0.38362,-0.37551
44.56800,-0.26542,-0.36456,-0.38355,-0.37546
44.66800,-0.26496,-0.36420,-0.38350,-0.37538
44.76800,-0.26453,-0.36393,-0.38338,-0.37519
44.86800,-0.26508,-0.36429,-0.38371,-0.37570
44.96800,-0.26501,-0.36386,-0.38315,-0.37570
45.06800,-0.26502,-0.36374,-0.38301,-0.37537
45.16800,-0.26543,-0.36401,-0.38313,-0.37506
45.26800,-0.26570,-0.36401,-0.38311,-0.37528
45.36800,-0.26609,-0.36392,-0.38303,-0.37510
45.46800,-0.26588,-0.36397,-0.38311,-0.37510
45.56800,-0.26619,-0.36391,-0.38317,-0.37534
45.66800,-0.26589,-0.36352,-0.38298,-0.37514
45.76800,-0.26648,-0.36388,-0.38314,-0.37497
45.86800,-0.26613,-0.36355,-0.38313,-0.37528
